class,id,order,task_dif,time,score,cal,time_on_task,length_writing,time.,task_motive
1,7,s2c,simple,1,0.59,ac_EFC/C,26,322,odd,1.7777777777777777
1,7,s2c,simple,1,61.81,lex_Vocd,26,322,odd,1.7777777777777777
1,7,s2c,simple,1,1.85,lex_WRDFRQmc,26,322,odd,1.7777777777777777
1,7,s2c,complex,2,13.92,com_MLTU,29,369,even,4.777777777777778
1,7,s2c,complex,2,0.36,com_DC/T,29,369,even,4.777777777777778
1,7,s2c,complex,2,1.76,com_CN/T,29,369,even,4.777777777777778
1,7,s2c,complex,2,1.0379,com_CN/C,29,369,even,4.777777777777778
1,7,s2c,complex,2,0.51,ac_EFC/C,29,369,even,4.777777777777778
1,7,s2c,complex,2,64.54,lex_Vocd,29,369,even,4.777777777777778
1,7,s2c,complex,2,1.79,lex_WRDFRQmc,29,369,even,4.777777777777778
1,7,s2c,simple,3,16.17,com_MLTU,22,356,odd,1.5555555555555556
1,7,s2c,simple,3,0.64,com_DC/T,22,356,odd,1.5555555555555556
1,7,s2c,simple,3,1.87,com_CN/T,22,356,odd,1.5555555555555556
1,7,s2c,simple,3,1.0964,com_CN/C,22,356,odd,1.5555555555555556
1,7,s2c,simple,3,0.54,ac_EFC/C,22,356,odd,1.5555555555555556
1,7,s2c,simple,3,79.86,lex_Vocd,22,356,odd,1.5555555555555556
1,7,s2c,simple,3,1.96,lex_WRDFRQmc,22,356,odd,1.5555555555555556
1,7,s2c,complex,4,18.42,com_MLTU,30,357,even,4
1,7,s2c,complex,4,0.58,com_DC/T,30,357,even,4
1,7,s2c,complex,4,1.97,com_CN/T,30,357,even,4
1,7,s2c,complex,4,1.0923,com_CN/C,30,357,even,4
1,7,s2c,complex,4,0.53,ac_EFC/C,30,357,even,4
1,7,s2c,complex,4,80.03,lex_Vocd,30,357,even,4
1,7,s2c,complex,4,1.78,lex_WRDFRQmc,30,357,even,4
1,8,s2c,simple,1,16.52,com_MLTU,28,461,odd,1.6666666666666667
1,8,s2c,simple,1,0.59,com_DC/T,28,461,odd,1.6666666666666667
1,8,s2c,simple,1,1.8824,com_CN/T,28,461,odd,1.6666666666666667
1,8,s2c,simple,1,1.2857,com_CN/C,28,461,odd,1.6666666666666667
1,8,s2c,simple,1,0.58,ac_EFC/C,28,461,odd,1.6666666666666667
1,8,s2c,simple,1,67.79,lex_Vocd,28,461,odd,1.6666666666666667
1,8,s2c,simple,1,1.56,lex_WRDFRQmc,28,461,odd,1.6666666666666667
1,8,s2c,complex,2,15.61,com_MLTU,34,392,even,4.333333333333333
1,8,s2c,complex,2,0.61,com_DC/T,34,392,even,4.333333333333333
1,8,s2c,complex,2,1.73,com_CN/T,34,392,even,4.333333333333333
1,8,s2c,complex,2,1.3438,com_CN/C,34,392,even,4.333333333333333
1,8,s2c,complex,2,0.53,ac_EFC/C,34,392,even,4.333333333333333
1,8,s2c,complex,2,75.41,lex_Vocd,34,392,even,4.333333333333333
1,8,s2c,complex,2,1.83,lex_WRDFRQmc,34,392,even,4.333333333333333
1,8,s2c,simple,3,18.94,com_MLTU,24,480,odd,1.222222222222222
1,8,s2c,simple,3,0.71,com_DC/T,24,480,odd,1.222222222222222
1,8,s2c,simple,3,1.96,com_CN/T,24,480,odd,1.222222222222222
1,8,s2c,simple,3,0.8039,com_CN/C,24,480,odd,1.222222222222222
1,8,s2c,simple,3,0.82,ac_EFC/C,24,480,odd,1.222222222222222
1,8,s2c,simple,3,69.12,lex_Vocd,24,480,odd,1.222222222222222
1,8,s2c,simple,3,1.78,lex_WRDFRQmc,24,480,odd,1.222222222222222
1,8,s2c,complex,4,17.81,com_MLTU,40,426,even,3.888888888888889
1,8,s2c,complex,4,0.73,com_DC/T,40,426,even,3.888888888888889
1,8,s2c,complex,4,1.95,com_CN/T,40,426,even,3.888888888888889
1,8,s2c,complex,4,1.1667,com_CN/C,40,426,even,3.888888888888889
1,8,s2c,complex,4,0.78,ac_EFC/C,40,426,even,3.888888888888889
1,8,s2c,complex,4,75.99,lex_Vocd,40,426,even,3.888888888888889
1,8,s2c,complex,4,1.81,lex_WRDFRQmc,40,426,even,3.888888888888889
1,9,s2c,simple,1,13.83,com_MLTU,31,345,odd,2.2222222222222223
1,9,s2c,simple,1,0.64,com_DC/T,31,345,odd,2.2222222222222223
1,9,s2c,simple,1,2.2143,com_CN/T,31,345,odd,2.2222222222222223
1,9,s2c,simple,1,0.76,com_CN/C,31,345,odd,2.2222222222222223
1,9,s2c,simple,1,0.48,ac_EFC/C,31,345,odd,2.2222222222222223
1,9,s2c,simple,1,72.63,lex_Vocd,31,345,odd,2.2222222222222223
1,9,s2c,simple,1,1.53,lex_WRDFRQmc,31,345,odd,2.2222222222222223
1,9,s2c,complex,2,15.18,com_MLTU,30,307,even,5
1,9,s2c,complex,2,0.84,com_DC/T,30,307,even,5
1,9,s2c,complex,2,1.79,com_CN/T,30,307,even,5
1,9,s2c,complex,2,0.7997,com_CN/C,30,307,even,5
1,9,s2c,complex,2,0.91,ac_EFC/C,30,307,even,5
1,9,s2c,complex,2,72.33,lex_Vocd,30,307,even,5
1,9,s2c,complex,2,1.69,lex_WRDFRQmc,30,307,even,5
