"stid","group","year","scale"
338,"C",2,1724
339,"T",1,1518
340,"T",0,1345
341,"C",1,1697
341,"C",2,1943
342,"T",0,1265
343,"T",0,1298
343,"T",1,1355
343,"T",2,1476
344,"T",0,1314
344,"T",1,1488
344,"T",2,1578
345,"C",0,1625
345,"C",1,1697
345,"C",2,1667
346,"T",1,1402
346,"T",2,1432
347,"C",0,1421
347,"C",1,1601
347,"C",2,1647
348,"T",0,1228
349,"T",0,1486
349,"T",1,1733
349,"T",2,1770
350,"C",0,1675
351,"T",1,1488
351,"T",2,1563
352,"C",0,1405
352,"C",1,1549
353,"C",0,1375
353,"C",1,1518
353,"C",2,1578
354,"C",0,1437
355,"T",0,1228
355,"T",1,1355
355,"T",2,1330
356,"C",0,1314
356,"C",1,1549
356,"C",2,1578
357,"C",0,1185
357,"C",1,1337
357,"C",2,1432
358,"C",0,1390
358,"C",1,1565
359,"C",1,1621
360,"C",0,1375
360,"C",1,1518
361,"C",0,1247
362,"T",0,1375
362,"T",1,1446
363,"C",0,1421
363,"C",1,1467
363,"C",2,1611
364,"C",1,1643
