stid,scid,group,gender,ethnicity,Spe.ed,year,scale,sp,stand
949522,Goodman,T,Male,Hispanic,No,0,1511,no,Meets
949573,Goodman,T,Female,Hispanic,No,0,1405,no,Approaches
949573,Goodman,T,Female,Hispanic,No,1,1503,no,Approaches
949625,Goodman,T,Male,Hispanic,No,0,1559,no,Meets
949625,Goodman,T,Male,Hispanic,No,1,1601,no,Meets
949642,Goodman,T,Male,twomore,No,0,1345,no,Notapproach
949653,Goodman,T,Female,Hispanic,No,0,1375,no,Approaches
949763,OrangeGrove,C,Female,Hispanic,No,0,1360,no,Approaches
949763,OrangeGrove,C,Female,Hispanic,No,1,1474,no,Approaches
949989,OrangeGrove,C,Male,Hispanic,No,0,1675,no,Masters
949989,OrangeGrove,C,Male,Hispanic,No,1,1733,no,Masters
949995,OrangeGrove,C,Male,Hispanic,No,0,1421,no,Approaches
949995,OrangeGrove,C,Male,Hispanic,No,1,1565,no,Approaches
950323,Goodman,T,Female,Hispanic,No,0,1596,no,Masters
950323,Goodman,T,Female,Hispanic,No,1,1589,no,Meets
950756,Goodman,T,Male,Hispanic,No,0,1282,no,Notapproach
950756,Goodman,T,Male,Hispanic,No,1,1371,no,Notapproach
951323,OrangeGrove,C,Male,Hispanic,No,0,1596,no,Masters
951323,OrangeGrove,C,Male,Hispanic,No,1,1565,no,Approaches
951604,OrangeGrove,C,Male,Hispanic,No,0,1596,no,Masters
952568,Goodman,T,Male,Hispanic,No,0,1511,no,Meets
952786,OrangeGrove,C,Female,Hispanic,No,1,1518,no,Approaches
953989,Goodman,T,Male,Afamerican,No,0,1282,no,Notapproach
954058,Goodman,T,Female,Afamerican,No,0,1755,no,Masters
954058,Goodman,T,Female,Afamerican,No,1,1589,no,Meets
954155,Goodman,T,Female,Hispanic,No,0,1437,no,Approaches
954738,OrangeGrove,C,Male,Hispanic,No,1,1518,no,Approaches
954883,Goodman,T,Male,Afamerican,No,0,1298,no,Notapproach
954955,OrangeGrove,C,Female,Hispanic,No,0,1265,no,Notapproach
955742,OrangeGrove,C,Female,Hispanic,No,0,1559,no,Meets
955742,OrangeGrove,C,Female,Hispanic,No,1,1670,no,Masters
955742,OrangeGrove,C,Female,Hispanic,No,2,1724,no,Masters
957147,OrangeGrove,C,Female,Hispanic,No,0,1675,no,Masters
957147,OrangeGrove,C,Female,Hispanic,No,1,1733,no,Masters
957158,OrangeGrove,C,Male,Hispanic,No,1,1549,no,Approaches
957876,Goodman,T,Female,Hispanic,No,1,1549,no,Approaches
957876,Goodman,T,Female,Hispanic,No,2,1860,no,Masters
958164,Goodman,T,Male,Hispanic,No,1,1782,no,Masters
958216,OrangeGrove,C,Female,Hispanic,No,0,1265,no,Notapproach
958550,Goodman,T,Female,Hispanic,No,0,1454,no,Approaches
958550,Goodman,T,Female,Hispanic,No,1,1670,no,Masters
958889,Goodman,T,Male,Afamerican,No,0,1314,no,Notapproach
958935,OrangeGrove,C,Female,Hispanic,No,0,1405,no,Approaches
959767,Goodman,T,Male,Hispanic,No,0,1282,no,Notapproach
960203,OrangeGrove,C,Female,Hispanic,No,1,1402,no,Notapproach
960203,OrangeGrove,C,Female,Hispanic,No,2,1417,no,Notapproach
960297,OrangeGrove,C,Male,Afamerican,No,0,1486,no,Meets
960965,OrangeGrove,C,Female,Hispanic,No,0,1486,no,Meets
960965,OrangeGrove,C,Female,Hispanic,No,1,1488,no,Approaches
960965,OrangeGrove,C,Female,Hispanic,No,2,1724,no,Masters
963714,Goodman,T,Male,Hispanic,No,1,1518,no,Approaches
964283,Goodman,T,Male,Hispanic,No,0,1345,no,Notapproach
965597,OrangeGrove,C,Female,Hispanic,No,1,1697,no,Masters
965597,OrangeGrove,C,Female,Hispanic,No,2,1943,no,Masters
966049,Goodman,T,Female,Hispanic,No,0,1265,no,Notapproach
967715,Goodman,T,Male,Hispanic,No,0,1298,no,Notapproach
967715,Goodman,T,Male,Hispanic,No,1,1355,no,Notapproach
967715,Goodman,T,Male,Hispanic,No,2,1476,no,Notapproach
968067,Goodman,T,Female,Hispanic,No,0,1314,no,Notapproach
968067,Goodman,T,Female,Hispanic,No,1,1488,no,Approaches
968067,Goodman,T,Female,Hispanic,No,2,1578,no,Approaches
972679,OrangeGrove,C,Female,Hispanic,No,0,1625,no,Masters
972679,OrangeGrove,C,Female,Hispanic,No,1,1697,no,Masters
972679,OrangeGrove,C,Female,Hispanic,No,2,1667,no,Meets
972735,Goodman,T,Male,Hispanic,No,1,1402,no,Notapproach
972735,Goodman,T,Male,Hispanic,No,2,1432,no,Notapproach
974348,OrangeGrove,C,Female,Hispanic,No,0,1421,no,Approaches
974348,OrangeGrove,C,Female,Hispanic,No,1,1601,no,Meets
974348,OrangeGrove,C,Female,Hispanic,No,2,1647,no,Meets
976619,Goodman,T,Male,Afamerican,No,0,1228,no,Notapproach
977924,Goodman,T,Male,Hispanic,No,0,1486,no,Meets
977924,Goodman,T,Male,Hispanic,No,1,1733,no,Masters
977924,Goodman,T,Male,Hispanic,No,2,1770,no,Masters
979360,OrangeGrove,C,Male,Hispanic,No,0,1675,no,Masters
979440,Goodman,T,Female,Hispanic,No,1,1488,no,Approaches
979440,Goodman,T,Female,Hispanic,No,2,1563,no,Approaches
981606,OrangeGrove,C,Male,Hispanic,No,0,1405,no,Approaches
981606,OrangeGrove,C,Male,Hispanic,No,1,1549,no,Approaches
981718,OrangeGrove,C,Female,Hispanic,No,0,1375,no,Approaches
981718,OrangeGrove,C,Female,Hispanic,No,1,1518,no,Approaches
981718,OrangeGrove,C,Female,Hispanic,No,2,1578,no,Approaches
981813,OrangeGrove,C,Male,Hispanic,No,0,1437,no,Approaches
983440,Goodman,T,Male,Hispanic,Yes,0,1228,no,Notapproach
983440,Goodman,T,Male,Hispanic,Yes,1,1355,no,Notapproach
983440,Goodman,T,Male,Hispanic,Yes,2,1330,no,Notapproach
983890,OrangeGrove,C,Female,Hispanic,No,0,1314,no,Notapproach
983890,OrangeGrove,C,Female,Hispanic,No,1,1549,no,Approaches
983890,OrangeGrove,C,Female,Hispanic,No,2,1578,no,Approaches
984241,OrangeGrove,C,Male,Hispanic,No,0,1185,no,Notapproach
