stid,scid,group,gender,ethnicity,LEPat5,spe.ed,year,spanish,scale,stand
930406,caro,T,Female,Hispanic,NotLEP,No,0,No,1372,Approaches
930406,caro,T,Female,Hispanic,NotLEP,No,1,No,1659,Masters
930406,caro,T,Female,Hispanic,NotLEP,No,2,No,1619,Meets
930410,caro,T,Female,Hispanic,NotLEP,No,0,No,1356,Approaches
930410,caro,T,Female,Hispanic,NotLEP,No,1,No,1424,Notapproach
930410,caro,T,Female,Hispanic,NotLEP,No,2,No,1503,Approaches
930424,caro,T,Female,Hispanic,LEP,No,0,Yes,1467,Meets
930427,caro,T,Female,Hispanic,secondyear,No,0,No,1419,Approaches
930427,caro,T,Female,Hispanic,secondyear,No,1,No,1659,Masters
930427,caro,T,Female,Hispanic,secondyear,No,2,No,1619,Meets
930431,har,C,Male,Hispanic,LEP,No,0,No,1234,Notapproach
930431,har,C,Male,Hispanic,LEP,No,1,No,1411,Notapproach
930431,har,C,Male,Hispanic,LEP,No,2,No,1450,Notapproach
930436,caro,T,Male,Hispanic,LEP,No,0,No,1217,Notapproach
930436,caro,T,Male,Hispanic,LEP,No,1,No,1397,Notapproach
930436,caro,T,Male,Hispanic,LEP,No,2,No,1437,Notapproach
930439,jon,C,Female,Hispanic,NotLEP,No,2,No,1582,Meets
930443,caro,T,Male,Hispanic,LEP,No,0,No,1312,Notapproach
930443,caro,T,Male,Hispanic,LEP,No,1,No,1356,Notapproach
930443,caro,T,Male,Hispanic,LEP,No,2,No,1503,Approaches
930446,jon,C,Female,Hispanic,firstyear,No,0,Yes,1444,Meets
930446,jon,C,Female,Hispanic,firstyear,No,1,No,1582,Meets
930453,caro,T,Female,Hispanic,NotLEP,No,0,No,1496,Meets
930453,caro,T,Female,Hispanic,NotLEP,No,1,No,1510,Approaches
930453,caro,T,Female,Hispanic,NotLEP,No,2,No,1564,Approaches
930458,caro,T,Male,Hispanic,LEP,No,0,No,1312,Notapproach
930458,caro,T,Male,Hispanic,LEP,No,1,No,1383,Notapproach
930474,bus,C,Female,Hispanic,secondyear,No,0,No,1455,Approaches
930474,bus,C,Female,Hispanic,secondyear,No,1,No,1562,Meets
930479,carm,T,Male,Hispanic,secondyear,No,0,No,1616,Masters
930479,carm,T,Male,Hispanic,secondyear,No,1,No,1562,Meets
